epoch,train_loss,train_accuracy,val_loss,val_accuracy,elapsed_seconds
1,1.8261460744094848,0.2768,1.5174743843078613,0.3932,4.826410093810409
2,1.30512064037323,0.51858,1.124200025177002,0.5962,4.4308149251155555
3,0.9972583954238892,0.64112,0.9584733251571655,0.6631,4.45426449785009
4,0.8227002624893188,0.71106,0.8603165121078491,0.7103,4.371691441163421
5,0.6948468915176391,0.75892,0.8341825881958008,0.7207,4.469843294005841
6,0.599207558631897,0.79128,0.8005030154228211,0.7348,4.449057382997125
7,0.506371489610672,0.8251,0.7716304062843323,0.7541,4.399995314888656
8,0.4300764552402496,0.85192,0.7569808996200561,0.7595,4.510346589144319
9,0.3572665407276154,0.87674,0.8102971334457397,0.7593,4.302655351813883
10,0.3095451729106903,0.89392,0.8371875379562378,0.751,4.295320192817599
11,0.2657101820707321,0.90936,0.9031023903846741,0.7614,4.3701390363276005
12,0.22484178464889526,0.92264,0.8620194847106933,0.764,4.406582796946168
13,0.1919146933364868,0.93344,1.0635618190765381,0.7484,4.390560025814921
14,0.17022516940116883,0.94296,1.0007880813598633,0.7556,4.396284979768097
15,0.14981654412269593,0.94862,1.0908722221374512,0.7554,4.50037179235369
16,0.12968969805240632,0.95614,1.0540643043518065,0.7614,4.426346872933209
17,0.12177314688682556,0.95952,1.113352138519287,0.7559,4.43254175176844
18,0.1003345857155323,0.96672,1.2785650623321534,0.7651,4.431941851973534
19,0.10975646551609039,0.9636,1.3692106342315673,0.7538,4.443480609916151
20,0.09771364476680755,0.96798,1.442076463317871,0.7411,4.39575459016487
